Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
115,先,xiān,first  ,1521.16,1,,,,,,,,
116,像,xiàng,like  ,1519.73,1,,,,,,,,
117,等,děng,wait  ,1519.69,1,,,,,,,,
118,被,bèi,passive marker  ,1496.95,1,,,,,,,,
119,从,cóng,from  ,1489.91,1,,,,,,,,
120,明,míng,bright  ,1489.06,1,,,,,,,,
121,中,zhōng,middle  ,1488.97,1,,,,,,,,
122,哦,ó,oh  ,1481.18,1,,,,,,,,
123,情,qíng,feeling  ,1479.02,1,,,,,,,,
124,作,zuò,make  ,1455.3,1,,,,,,,,
125,跟,gēn,with  ,1437.78,1,,,,,,,,
126,面,miàn,face  ,1430.69,1,,,,,,,,
127,诉,sù,tell  ,1403.75,1,,,,,,,,
128,爱,ài,love  ,1393.14,1,,,,,,,,
129,已,yǐ,already  ,1389.36,1,,,,,,,,
130,之,zhī,of  ,1382.44,1,,,,,,,,
131,问,wèn,ask  ,1374.33,1,,,,,,,,
132,错,cuò,wrong  ,1349.9,1,,,,,,,,
133,孩,hái,child  ,1336.45,1,,,,,,,,
134,斯,sī,this  ,1321.1,1,,,,,,,,
135,成,chéng,become  ,1309.7,1,,,,,,,,
136,它,tā,it  ,1308.08,1,,,,,,,,
137,感,gǎn,feel  ,1303.43,1,,,,,,,,
138,干,gān,do  ,1301.66,1,,,,,,,,
139,法,fǎ,law  ,1296.94,1,,,,,,,,
140,电,diàn,electricity  ,1286.86,1,,,,,,,,
141,间,jiān,room  ,1281.93,1,,,,,,,,
142,哪,nǎ,which  ,1269.8,1,,,,,,,,
143,西,xī,west  ,1260.09,1,,,,,,,,
144,己,jǐ,self  ,1252.62,1,,,,,,,,
145,候,hòu,wait  ,1245.42,1,,,,,,,,
146,次,cì,time  ,1240.53,1,,,,,,,,
147,信,xìn,trust  ,1236.69,1,,,,,,,,
148,欢,huān,happy  ,1234.32,1,,,,,,,,
149,正,zhèng,right  ,1221.47,1,,,,,,,,
150,实,shí,reality  ,1217.09,1,,,,,,,,
151,关,guān,close  ,1188.98,1,,,,,,,,
152,进,jìn,enter  ,1188.61,1,,,,,,,,
153,车,chē,car  ,1186.71,1,,,,,,,,
154,年,nián,year  ,1170.43,1,,,,,,,,
155,喜,xǐ,happy  ,1162.06,1,,,,,,,,
156,认,rèn,recognize  ,1159.71,1,,,,,,,,
157,克,kè,overcome  ,1145.64,1,,,,,,,,
158,爸,bà,dad  ,1132.02,1,,,,,,,,
159,谁,shéi,who  ,1128.58,1,,,,,,,,
160,方,fāng,direction  ,1126,1,,,,,,,,
161,老,lǎo,old  ,1124.82,1,,,,,,,,
162,应,yīng,should  ,1114.53,1,,,,,,,,
163,比,bǐ,compare  ,1106.68,1,,,,,,,,
164,帮,bāng,help  ,1089.07,1,,,,,,,,
165,无,wú,none  ,1086.82,1,,,,,,,,
166,晚,wǎn,evening  ,1078.37,1,,,,,,,,
167,动,dòng,move  ,1051.94,1,,,,,,,,
168,头,tóu,head  ,1047.56,1,,,,,,,,
169,机,jī,machine  ,1044,1,,,,,,,,
170,分,fēn,divide  ,1033.2,1,,,,,,,,
171,特,tè,special  ,1029.54,1,,,,,,,,
172,相,xiāng,each other  ,1021.67,1,,,,,,,,
173,全,quán,whole  ,1015.03,1,,,,,,,,
174,杀,shā,kill  ,1006,1,,,,,,,,
175,需,xū,need  ,995.09,1,,,,,,,,
176,放,fàng,release  ,993.32,1,,,,,,,,
177,常,cháng,often  ,990.22,1,,,,,,,,
178,直,zhí,straight  ,985.52,1,,,,,,,,
179,才,cái,able  ,982.98,1,,,,,,,,
180,美,měi,beautiful  ,972.67,1,,,,,,,,
181,于,yú,in  ,969.85,1,,,,,,,,
182,带,dài,bring  ,966.74,1,,,,,,,,
183,今,jīn,today  ,960.18,1,,,,,,,,
184,力,lì,strength  ,957.68,1,,,,,,,,
185,工,gōng,work  ,951.05,1,,,,,,,,
186,许,xǔ,allow  ,943.4,1,,,,,,,,
187,东,dōng,east  ,940.14,1,,,,,,,,
188,名,míng,name  ,922.89,1,,,,,,,,
189,同,tóng,same  ,917.89,1,,,,,,,,
190,长,cháng,long  ,909.37,1,,,,,,,,
191,亲,qīn,relative  ,907.34,1,,,,,,,,
192,种,zhǒng,type  ,905.1,1,,,,,,,,
193,者,zhě,one who  ,901.88,1,,,,,,,,
194,嘿,hē,hey  ,896.8,1,,,,,,,,
195,白,bái,white  ,896.37,1,,,,,,,,
196,学,xué,learn  ,895.88,1,,,,,,,,
197,安,ān,safe  ,890.65,1,,,,,,,,
198,尔,ěr,you  ,881.36,1,,,,,,,,
199,叫,jiào,call  ,881.04,1,,,,,,,,
200,理,lǐ,reason  ,877.41,1,,,,,,,,
201,本,běn,root  ,876.64,1,,,,,,,,
202,国,guó,country  ,869.15,1,,,,,,,,
203,第,dì,number  ,868.15,1,,,,,,,,
204,友,yǒu,friend  ,857.13,1,,,,,,,,
205,高,gāo,high  ,854.89,1,,,,,,,,
206,两,liǎng,two  ,853.35,1,,,,,,,,
207,保,bǎo,protect  ,848.21,1,,,,,,,,
208,请,qǐng,please  ,845.2,1,,,,,,,,
209,非,fēi,non  ,842.06,1,,,,,,,,
210,重,zhòng,heavy  ,840.54,1,,,,,,,,
211,公,gōng,public  ,838.84,1,,,,,,,,
212,记,jì,record  ,832.77,1,,,,,,,,
213,身,shēn,body  ,827.48,1,,,,,,,,
214,受,shòu,receive  ,825.94,1,,,,,,,,
215,住,zhù,live  ,821.54,1,,,,,,,,
216,活,huó,live  ,816.29,1,,,,,,,,
217,加,jiā,add  ,814.67,1,,,,,,,,
218,何,hé,how  ,810.98,1,,,,,,,,
219,伙,huǒ,partner  ,803.5,1,,,,,,,,
220,题,tí,topic  ,801.09,1,,,,,,,,
221,完,wán,complete  ,800.32,1,,,,,,,,
222,接,jiē,connect  ,792.34,1,,,,,,,,
223,拿,ná,take  ,791.06,1,,,,,,,,
224,望,wàng,expect  ,785.44,1,,,,,,,,
225,解,jiě,solve  ,781.83,1,,,,,,,,
226,其,qí,its  ,774.64,1,,,,,,,,
227,离,lí,leave  ,762.68,1,,,,,,,,
228,谈,tán,talk  ,762.22,1,,,,,,,,
