Number,Character,Pinyin,English,CHR/million,Known,,,,,,,,
1172,滑,huá,slide  ,75.21,,,,,,,,,
1173,碎,suì,shatter  ,75.15,,,,,,,,,
1174,弱,ruò,weak  ,74.7,,,,,,,,,
1175,仔,zǎi,young  ,74.66,,,,,,,,,
1176,款,kuǎn ,money,74.42,,,,,,,,,
1177,拒,jù,refuse  ,74.4,,,,,,,,,
1178,河,hé,river  ,74.1,,,,,,,,,
1179,伍,wǔ,five  ,73.74,,,,,,,,,
1180,纹,wén,pattern  ,73.67,,,,,,,,,
1181,臭,chòu,smelly  ,73.61,,,,,,,,,
1182,幻,huàn,illusion  ,73.12,,,,,,,,,
1183,童,tóng,child  ,73.03,,,,,,,,,
1184,翰,hàn,han  ,72.91,,,,,,,,,
1185,闪,shǎn,flash  ,72.8,,,,,,,,,
1186,残,cán,remain  ,72.78,,,,,,,,,
1187,鸟,niǎo,bird  ,72.76,,,,,,,,,
1188,骑,qí,ride  ,72.42,,,,,,,,,
1189,翻,fān,flip  ,72.2,,,,,,,,,
1190,洲,zhōu,continent  ,72.18,,,,,,,,,
1191,瑟,sè,Sè  ,71.82,,,,,,,,,
1192,沉,chén  ,sink,71.45,,,,,,,,,
1193,饿,è,hungry  ,71.22,,,,,,,,,
1194,砸,zá,smash  ,71.22,,,,,,,,,
1195,互,hù,interact  ,71.2,,,,,,,,,
1196,卷,juàn  ,roll,71.18,,,,,,,,,
1197,拖,tuō,drag  ,71.11,,,,,,,,,
1198,瓜,guā,melon  ,70.77,,,,,,,,,
1199,例,lì,example  ,70.64,,,,,,,,,
1200,财,cái,finance  ,70.56,,,,,,,,,
1201,瓶,píng,bottle  ,70.52,,,,,,,,,
1202,墙,qiáng,wall  ,70.45,,,,,,,,,
1203,拳,quán,fist  ,70.43,,,,,,,,,
1204,牢,láo,prison  ,70.39,,,,,,,,,
1205,典,diǎn,classic  ,69.94,,,,,,,,,
1206,垃,lā,garbage  ,69.9,,,,,,,,,
1207,染,rǎn,dye  ,69.9,,,,,,,,,
1208,漫,màn  ,overflow,69.87,,,,,,,,,
1209,触,chù,touch  ,69.79,,,,,,,,,
1210,胁,xié,threaten  ,69.79,,,,,,,,,
1211,圾,jī,garbage  ,69.75,,,,,,,,,
1212,施,shī ,apply,69.68,,,,,,,,,
1213,胸,xiōng,chest  ,69.68,,,,,,,,,
1214,阴,yīn,shade  ,69.49,,,,,,,,,
1215,孕,yùn,pregnant  ,69.45,,,,,,,,,
1216,惹,rěn,provoke  ,69.45,,,,,,,,,
1217,硬,yìng,hard  ,69.34,,,,,,,,,
1218,逮,dǎi,catch  ,69.32,,,,,,,,,
1219,销,xiāo,sale  ,69.19,,,,,,,,,
1220,邦,bāng,country  ,69.17,,,,,,,,,
1221,劫,jié,rob  ,69.13,,,,,,,,,
1222,袭,xí,attack  ,69.02,,,,,,,,,
1223,育,yù,education  ,69,,,,,,,,,
1224,虫,chóng,insect  ,68.91,,,,,,,,,
1225,嫌,xián,suspect  ,68.51,,,,,,,,,
1226,累,lèi,tired  ,68.49,,,,,,,,,
1227,怖,bù,scary  ,68.36,,,,,,,,,
1228,握,wò,hold  ,68.17,,,,,,,,,
1229,雨,yǔ,rain  ,68.08,,,,,,,,,
1230,缺,quē,lack  ,68.02,,,,,,,,,
1231,琳,lín,jade  ,67.95,,,,,,,,,
1232,墨,mò,ink  ,67.44,,,,,,,,,
1233,迫,pò,force  ,67.44,,,,,,,,,
1234,采,cǎi,pick  ,67.25,,,,,,,,,
1235,辈,bèi,generation  ,67.14,,,,,,,,,
1236,陷,xiàn,fall  ,67.08,,,,,,,,,
1237,蹈,dǎo,dance  ,67.06,,,,,,,,,
1238,限,xiàn,limit  ,66.97,,,,,,,,,
1239,巨,jù,giant  ,66.69,,,,,,,,,
1240,鲍,bào,abalone  ,66.65,,,,,,,,,
1241,针,zhēn,needle  ,66.57,,,,,,,,,
1242,雅,yǎ,elegant  ,66.46,,,,,,,,,
1243,兹,zī,this  ,66.37,,,,,,,,,
1244,尾,wěi,tail  ,66.37,,,,,,,,,
1245,青,qīng,green  ,66.33,,,,,,,,,
1246,席,xí,seat  ,66.29,,,,,,,,,
1247,逼,bī,force  ,65.97,,,,,,,,,
1248,犹,yóu,still  ,65.88,,,,,,,,,
1249,扮,bàn,play the part  ,65.69,,,,,,,,,
1250,赞,zàn,praise  ,65.6,,,,,,,,,
1251,邀,yāo,invite  ,65.46,,,,,,,,,
1252,净,jìng,clean  ,65.43,,,,,,,,,
1253,闹,nào,noisy  ,65.26,,,,,,,,,
1254,访,fǎng,visit  ,65.11,,,,,,,,,
1255,良,liáng,good  ,65.01,,,,,,,,,
1256,叛,pàn,betray  ,65.01,,,,,,,,,
1257,驾,jià,drive  ,64.84,,,,,,,,,
1258,范,fàn,pattern  ,64.84,,,,,,,,,
1259,俄,é,Russian  ,64.49,,,,,,,,,
1260,猪,zhū,pig  ,64.47,,,,,,,,,
1261,辛,xīn,lucky  ,64.47,,,,,,,,,
1262,杉,shān,cypress  ,64.17,,,,,,,,,
1263,淘,táo,wash  ,64.09,,,,,,,,,
1264,洞,dòng,cave  ,63.98,,,,,,,,,
1265,冠,guàn,crown  ,63.98,,,,,,,,,
1266,伟,wěi,great  ,63.73,,,,,,,,,
1267,珍,zhēn,treasure  ,63.68,,,,,,,,,
1268,梅,méi,plum  ,63.58,,,,,,,,,
1269,朗,lǎng,clear  ,63.36,,,,,,,,,
1270,欠,qiàn,owe  ,63.24,,,,,,,,,
1271,扯,chě,pull  ,63.02,,,,,,,,,
1272,丑,chǒu,ugly  ,62.94,,,,,,,,,
1273,竞,jìng,compete  ,62.51,,,,,,,,,
1274,剂,jì,dose  ,62.23,,,,,,,,,
1275,烈,liè ,intense,62.17,,,,,,,,,
1276,李,lǐ,Li  ,62.12,,,,,,,,,
1277,村,cūn,village  ,62.06,,,,,,,,,
1278,厉,lì,severe  ,61.93,,,,,,,,,
1279,厨,chú,kitchen  ,61.87,,,,,,,,,
1280,允,yǔn,allow  ,61.85,,,,,,,,,
1281,授,shòu,give  ,61.83,,,,,,,,,
1282,堆,duī,pile  ,61.66,,,,,,,,,
1283,庆,qìng,celebrate  ,61.53,,,,,,,,,
1284,率,lǜ,rate  ,61.46,,,,,,,,,
1285,怒,nù,anger  ,61.4,,,,,,,,,
1286,寓,yù,place  ,61.4,,,,,,,,,
1287,液,yè,fluid  ,61.31,,,,,,,,,
1288,谓,wèi,said  ,61.14,,,,,,,,,
1289,估,gū,estimate  ,61.1,,,,,,,,,
1290,鲜,xiān,fresh  ,61.06,,,,,,,,,
1291,磨,mó  ,grind,60.84,,,,,,,,,
1292,帅,shuài,handsome  ,60.84,,,,,,,,,
1293,婊,biǎo,whore  ,60.78,,,,,,,,,
1294,尿,niào,urine  ,60.69,,,,,,,,,
1295,键,jiàn,key  ,60.61,,,,,,,,,
1296,余,yú,extra  ,60.18,,,,,,,,,
1297,绍,shào,introduce  ,60.01,,,,,,,,,
1298,娃,wá,doll  ,59.82,,,,,,,,,
1299,刑,xíng,penalty  ,59.8,,,,,,,,,
1300,扫,sǎo,sweep  ,59.69,,,,,,,,,
1301,核,hé,nucleus  ,59.48,,,,,,,,,
1302,损,sǔn,damage  ,59.22,,,,,,,,,
1303,辩,biàn,argue  ,59.03,,,,,,,,,
1304,惯,guàn,habit  ,59.03,,,,,,,,,
1305,傲,ào,proud  ,58.67,,,,,,,,,
1306,减,jiǎn,reduce  ,58.67,,,,,,,,,
1307,泡,pào,bubble  ,58.65,,,,,,,,,
1308,摸,mō,touch  ,58.47,,,,,,,,,
1309,著,zhe,write  ,58.37,,,,,,,,,
1310,途,tú,route  ,58.24,,,,,,,,,
1311,矶,jī,jetties  ,58.2,,,,,,,,,
1312,鼓,gǔ,drums  ,58.2,,,,,,,,,
1313,堡,bǎo,fort  ,58.11,,,,,,,,,
1314,愚,yú,foolish  ,58.09,,,,,,,,,
1315,敏,mǐn,sensitive  ,58.03,,,,,,,,,
1316,版,bǎn,version  ,57.81,,,,,,,,,
1317,盒,hé,box  ,57.77,,,,,,,,,
1318,订,dìng,order  ,57.75,,,,,,,,,
1319,寄,jì,mail  ,57.58,,,,,,,,,
1320,赚,zhuàn,earn  ,57.51,,,,,,,,,
1321,爵,jué,title  ,57.43,,,,,,,,,
1322,材,cái,material  ,57.3,,,,,,,,,
1323,盛,shèng,flourish  ,57.28,,,,,,,,,
1324,尤,yóu,especially  ,57.19,,,,,,,,,
1325,皇,huáng,emperor  ,57.13,,,,,,,,,
1326,夺,duó,seize  ,57.04,,,,,,,,,
1327,邮,yóu,post  ,56.92,,,,,,,,,
1328,俱,jù,all  ,56.7,,,,,,,,,
1329,九,jiǔ,nine  ,56.66,,,,,,,,,
1330,盗,dào,theft  ,56.64,,,,,,,,,
1331,尺,chǐ,ruler  ,56.6,,,,,,,,,
1332,愉,yú,happy  ,56.45,,,,,,,,,
1333,序,xù,sequence  ,56.15,,,,,,,,,
1334,鼠,shǔ,mouse  ,55.91,,,,,,,,,
1335,幕,mù,curtain  ,55.85,,,,,,,,,
1336,踢,tī,kick  ,55.85,,,,,,,,,
1337,憾,hàn,regret  ,55.74,,,,,,,,,
1338,汰,tài,clean  ,55.74,,,,,,,,,
1339,隔,gé,separate  ,55.7,,,,,,,,,
1340,彻,chè,thorough  ,55.61,,,,,,,,,
1341,插,chā,insert  ,55.44,,,,,,,,,
1342,猎,liè,hunt  ,55.38,,,,,,,,,
1343,尚,shàng,still  ,55.38,,,,,,,,,
1344,潜,qián  ,latent,55.27,,,,,,,,,
1345,构,gòu,construct  ,55.14,,,,,,,,,
1346,烤,kǎo,roast  ,55.14,,,,,,,,,
1347,霍,huò,Huo  ,55.02,,,,,,,,,
1348,悔,huǐ,regret  ,54.97,,,,,,,,,
1349,暂,zàn,temporary  ,54.89,,,,,,,,,
1350,爽,shuǎng ,cool,54.78,,,,,,,,,
1351,扎,zhā,tie  ,54.67,,,,,,,,,
1352,绪,xù,thread  ,54.61,,,,,,,,,
1353,讯,xùn,news  ,54.38,,,,,,,,,
1354,吐,tǔ,vomit  ,54.29,,,,,,,,,
1355,吹,chuī,blow  ,54.23,,,,,,,,,
1356,宾,bīn,guest  ,54.14,,,,,,,,,
1357,侦,zhēn,investigate  ,54.14,,,,,,,,,
1358,颗,kē,particle  ,53.91,,,,,,,,,
1359,宁,nìng,peaceful  ,53.86,,,,,,,,,
1360,罚,fá,punish  ,53.71,,,,,,,,,
1361,欲,yù,desire  ,53.69,,,,,,,,,
1362,乡,xiāng,town  ,53.56,,,,,,,,,
1363,帽,mào,hat  ,53.54,,,,,,,,,
1364,杜,dù,stop  ,53.54,,,,,,,,,
1365,豪,háo,burly  ,53.52,,,,,,,,,
1366,征,zhēng  ,levy,53.46,,,,,,,,,
1367,括,kuò,include  ,53.41,,,,,,,,,
1368,盯,dīng,stare  ,53.39,,,,,,,,,
1369,稳,wěn,stable  ,53.27,,,,,,,,,
1370,胆,dǎn,courage  ,53.09,,,,,,,,,
1371,甲,jiǎ,shell  ,53.09,,,,,,,,,
1372,赖,lài,depend  ,53.05,,,,,,,,,
1373,啤,pí,beer  ,53.03,,,,,,,,,
1374,佩,pèi,wear  ,52.86,,,,,,,,,
1375,启,qǐ,open  ,52.84,,,,,,,,,
1376,胎,tāi,fetus,52.73,,,,,,,,,
1377,帐,zhàng,account  ,52.67,,,,,,,,,
1378,赏,shǎng,reward  ,52.6,,,,,,,,,
1379,抛,pāo,throw  ,52.41,,,,,,,,,
1380,遭,zāo ,build,52.41,,,,,,,,,
1381,若,ruò,if  ,52.41,,,,,,,,,
1382,梯,tī,ladder  ,52.16,,,,,,,,,
1383,震,zhèn,shock  ,52.16,,,,,,,,,
1384,述,shù,narrate  ,51.92,,,,,,,,,
1385,阵,zhèn ,line,51.86,,,,,,,,,
1386,仪,yí,instrument  ,51.81,,,,,,,,,
1387,乖,guāi,good  ,51.75,,,,,,,,,
1388,宫,gōng,palace  ,51.69,,,,,,,,,
1389,咬,yǎo,bite  ,51.64,,,,,,,,,
1390,祷,dǎo,pray  ,51.58,,,,,,,,,
1391,祖,zǔ,ancestor  ,51.51,,,,,,,,,
1392,蜜,mì,honey  ,51.34,,,,,,,,,
1393,耍,shuǎ,play  ,51.09,,,,,,,,,
1394,拼,pīn  ,fit,50.96,,,,,,,,,
1395,惜,xī,treasure  ,50.9,,,,,,,,,
1396,忠,zhōng,loyalty  ,50.87,,,,,,,,,
1397,策,cè,policy  ,50.72,,,,,,,,,
1398,鼻,bí,nose  ,50.66,,,,,,,,,
1399,钻,zuān,drill,50.66,,,,,,,,,
1400,池,chí,pool  ,50.64,,,,,,,,,
1401,虚,xū,empty  ,50.6,,,,,,,,,
1402,桑,sāng,morus  ,50.51,,,,,,,,,
1403,拾,shí,pick  ,50.43,,,,,,,,,
1404,泳,yǒng,swim  ,50.4,,,,,,,,,
1405,频,pín,frequency  ,50.4,,,,,,,,,
1406,尖,jiān,sharp,50.34,,,,,,,,,
1407,申,shēn  ,apply,50.34,,,,,,,,,
1408,违,wéi,violate  ,50.13,,,,,,,,,
1409,零,líng,zero  ,49.89,,,,,,,,,
1410,诊,zhěn,diagnose  ,49.89,,,,,,,,,
1411,嘘,xū,hush  ,49.81,,,,,,,,,
1412,惧,jù,fear  ,49.76,,,,,,,,,
1413,拯,zhěng,rescue  ,49.47,,,,,,,,,
1414,痕,hén,mark  ,49.44,,,,,,,,,
1415,批,pī,batch  ,49.38,,,,,,,,,
1416,绿,lǜ,green  ,49.36,,,,,,,,,
1417,乘,chéng,ride  ,49.32,,,,,,,,,
1418,佳,jiā,good  ,49.29,,,,,,,,,
1419,熊,xióng,bear  ,49.23,,,,,,,,,
1420,辣,là,spicy  ,49.1,,,,,,,,,
1421,躺,tǎng,lie  ,48.97,,,,,,,,,
1422,祈,qí,pray  ,48.95,,,,,,,,,
1423,肥,féi,fat  ,48.93,,,,,,,,,
1424,址,zhǐ,site  ,48.91,,,,,,,,,
1425,占,zhàn,occupy  ,48.91,,,,,,,,,
1426,络,luò,network  ,48.8,,,,,,,,,
1427,掩,yǎn,cover  ,48.8,,,,,,,,,
1428,省,shěng,province  ,48.78,,,,,,,,,
1429,羊,yáng,sheep  ,48.78,,,,,,,,,
1430,荒,huāng,wild  ,48.76,,,,,,,,,
1431,督,dū,supervise  ,48.72,,,,,,,,,
1432,撤,chè,withdraw  ,48.57,,,,,,,,,
1433,胖,pàng,fat  ,48.5,,,,,,,,,
1434,辞,cí ,resign,48.5,,,,,,,,,
1435,增,zēng,increase  ,48.46,,,,,,,,,
1436,援,yuán,aid  ,48.44,,,,,,,,,
1437,郎,láng,mister  ,48.4,,,,,,,,,
1438,献,xiàn,offer  ,48.33,,,,,,,,,
1439,擦,cā,wipe  ,48.25,,,,,,,,,
1440,农,nóng,farmer  ,48.14,,,,,,,,,
1441,邪,xié,evil  ,47.95,,,,,,,,,
1442,姻,yīn,marriage  ,47.93,,,,,,,,,
1443,恢,huī,restore  ,47.89,,,,,,,,,
1444,描,miáo,paint  ,47.86,,,,,,,,,
1445,匹,pǐ,match  ,47.82,,,,,,,,,
1446,软,ruǎn,soft  ,47.8,,,,,,,,,
1447,埋,mái,bury  ,47.8,,,,,,,,,
1448,惨,cǎn,grim  ,47.65,,,,,,,,,
1449,洋,yáng,ocean  ,47.5,,,,,,,,,
1450,纯,chún,pure  ,47.48,,,,,,,,,
1451,浴,yù,bath  ,47.46,,,,,,,,,
1452,贴,tiē,paste  ,47.31,,,,,,,,,
1453,尉,wèi,official  ,47.22,,,,,,,,,
1454,略,lüè ,consider,47.18,,,,,,,,,
1455,符,fú,symbol  ,47.16,,,,,,,,,
1456,侵,qīn,infringe  ,47.07,,,,,,,,,
1457,陆,lù,land  ,46.9,,,,,,,,,
1458,载,zài,carry  ,46.9,,,,,,,,,
1459,爬,pá,climb  ,46.8,,,,,,,,,
1460,挖,wā,dig  ,46.63,,,,,,,,,
1461,骄,jiāo,proud  ,46.39,,,,,,,,,
1462,兽,shòu,beast  ,46.28,,,,,,,,,
1463,嫁,jià,married  ,46.18,,,,,,,,,
1464,洁,jié,clean  ,46.18,,,,,,,,,
1465,晨,chén,morning  ,46.18,,,,,,,,,
1466,喊,hǎn,shout  ,46.03,,,,,,,,,
1467,奏,zòu,play  ,45.96,,,,,,,,,
1468,灰,huī,gray  ,45.69,,,,,,,,,
1469,摔,shuāi,fall  ,45.62,,,,,,,,,
1470,羞,xiū,shame  ,45.6,,,,,,,,,
1471,邻,lín,neighbor  ,45.41,,,,,,,,,
1472,椅,yǐ,chair  ,45.17,,,,,,,,,
1473,颜,yán,face  ,45.17,,,,,,,,,
1474,欺,qī,deceive  ,45.13,,,,,,,,,
1475,端,duān,end  ,45.11,,,,,,,,,
1476,贺,hè,congratulate  ,44.77,,,,,,,,,
1477,茶,chá,tea  ,44.6,,,,,,,,,
1478,障,zhàng,barrier  ,44.6,,,,,,,,,
1479,慈,cí,kind  ,44.58,,,,,,,,,
1480,仇,chóu,hate  ,44.51,,,,,,,,,
1481,厂,chǎng,factory  ,44.34,,,,,,,,,
1482,怨,yuàn,grudge  ,44.34,,,,,,,,,
1483,逊,xùn,yield  ,44.3,,,,,,,,,
1484,黎,lí,Li  ,44.15,,,,,,,,,
1485,剪,jiǎn,cut  ,44.06,,,,,,,,,
1486,春,chūn,spring  ,43.98,,,,,,,,,
1487,额,é,forehead  ,43.96,,,,,,,,,
1488,豆,dòu,bean  ,43.89,,,,,,,,,
1489,罢,bà,quit  ,43.89,,,,,,,,,
1490,裂,liè,split  ,43.74,,,,,,,,,
1491,挡,dǎng,block  ,43.62,,,,,,,,,
1492,偏,piān,bias  ,43.59,,,,,,,,,
1493,糊,hú,paste  ,43.55,,,,,,,,,
1494,卧,wò,lie down  ,43.53,,,,,,,,,
1495,敲,qiāo,knock  ,43.49,,,,,,,,,
1496,丧,sàng,sorrow  ,43.42,,,,,,,,,
1497,乌,wū,black  ,43.06,,,,,,,,,
1498,购,gòu,purchase  ,43.04,,,,,,,,,
1499,域,yù,domain  ,42.76,,,,,,,,,
1500,闲,xián,idle  ,42.74,,,,,,,,,
1501,宇,yǔ,universe  ,42.72,,,,,,,,,
1502,姓,xìng,surname  ,42.63,,,,,,,,,
1503,葬,zàng,bury  ,42.44,,,,,,,,,
1504,党,dǎng,party  ,42.38,,,,,,,,,
1505,售,shòu,sell  ,42.36,,,,,,,,,
1506,涂,tú,paint  ,42.36,,,,,,,,,
1507,碍,ài,block  ,42.33,,,,,,,,,
1508,柜,guì,cabinet  ,42.16,,,,,,,,,
1509,壮,zhuàng,strong  ,42.14,,,,,,,,,
1510,裁,cái,cut  ,42.1,,,,,,,,,
1511,珠,zhū,pearl  ,42.06,,,,,,,,,
1512,咪,mī,meow  ,41.99,,,,,,,,,
1513,耐,nài,patient,41.95,,,,,,,,,
1514,勃,bó,excite  ,41.76,,,,,,,,,
1515,琴,qín,qin  ,41.74,,,,,,,,,
1516,账,zhàng,account  ,41.69,,,,,,,,,
1517,固,gù,stable  ,41.59,,,,,,,,,
1518,唔,wú,mmm  ,41.57,,,,,,,,,
1519,唐,táng,tang  ,41.4,,,,,,,,,
1520,貌,mào,appearance  ,41.27,,,,,,,,,
1521,漏,lòu,leak  ,41.22,,,,,,,,,
1522,卢,lú,Lu  ,41.08,,,,,,,,,
1523,荡,dàng,sway  ,40.9,,,,,,,,,
1524,扣,kòu  ,buckle,40.82,,,,,,,,,
1525,仰,yǎng,face up  ,40.65,,,,,,,,,
1526,君,jūn,jun  ,40.58,,,,,,,,,
1527,夹,jiā,sandwich,40.56,,,,,,,,,
1528,倍,bèi,double  ,40.56,,,,,,,,,
1529,晓,xiǎo,know  ,40.52,,,,,,,,,
1530,牧,mù,pastoral  ,40.48,,,,,,,,,
1531,桥,qiáo,bridge  ,40.43,,,,,,,,,
1532,辑,jí,edit  ,40.35,,,,,,,,,
1533,巡,xún,patrol  ,40.26,,,,,,,,,
1534,喷,pēn,spray  ,40.2,,,,,,,,,
1535,詹,zhān,Zhan  ,40.16,,,,,,,,,
1536,牲,shēng,livestock  ,40.14,,,,,,,,,
1537,昏,hūn,dusk  ,40.03,,,,,,,,,
1538,凡,fán,common  ,40.03,,,,,,,,,
1539,肤,fū,skin  ,40.01,,,,,,,,,
1540,饰,shì,decorate  ,39.99,,,,,,,,,
1541,灾,zāi,disaster  ,39.92,,,,,,,,,
1542,欣,xīn,happy  ,39.92,,,,,,,,,
1543,谷,gǔ,valley  ,39.86,,,,,,,,,
1544,芬,fēn,fragrance  ,39.82,,,,,,,,,
1545,滩,tān,beach  ,39.82,,,,,,,,,
1546,愤,fèn,indignant  ,39.73,,,,,,,,,
1547,敦,dūn,honest  ,39.67,,,,,,,,,
1548,厕,cè,toilet  ,39.62,,,,,,,,,
1549,奸,jiān,adultery  ,39.58,,,,,,,,,
1550,坞,wù,dock  ,39.47,,,,,,,,,
1551,贱,jiàn,cheapen  ,39.45,,,,,,,,,
1552,盟,méng,alliance  ,39.43,,,,,,,,,
1553,闯,chuǎng,burst  ,39.37,,,,,,,,,
1554,咒,zhòu,curse  ,39.28,,,,,,,,,
1555,窃,qiè,steal  ,39.26,,,,,,,,,
1556,辜,gū,betray  ,39.26,,,,,,,,,
1557,朵,duǒ,flower  ,39.09,,,,,,,,,
1558,植,zhí,plant  ,39,,,,,,,,,
1559,圆,yuán,round  ,38.96,,,,,,,,,
1560,篮,lán,basket  ,38.96,,,,,,,,,
1561,屎,shǐ,feces  ,38.94,,,,,,,,,
1562,伪,wěi,false  ,38.88,,,,,,,,,
1563,距,jù,distance  ,38.88,,,,,,,,,
1564,延,yán,extend  ,38.88,,,,,,,,,
1565,凭,píng,based on  ,38.85,,,,,,,,,
1566,田,tián,field  ,38.83,,,,,,,,,
1567,捐,juān,donate  ,38.77,,,,,,,,,
1568,挣,zhèng,earn  ,38.73,,,,,,,,,
1569,蕾,lěi,bud  ,38.73,,,,,,,,,
1570,饮,yǐn,drink  ,38.66,,,,,,,,,
1571,宽,kuān,wide  ,38.32,,,,,,,,,
1572,驶,shǐ,drive  ,38.32,,,,,,,,,
1573,伸,shēn,stretch  ,38.3,,,,,,,,,
1574,析,xī,analyze  ,38.28,,,,,,,,,
1575,戈,gē,spear  ,38.26,,,,,,,,,
1576,媒,méi,medium  ,38.15,,,,,,,,,
1577,裙,qún,skirt  ,38.04,,,,,,,,,
1578,倾,qīng,tilt  ,38.02,,,,,,,,,
1579,辱,rǔ,insult  ,37.92,,,,,,,,,
1580,缝,féng,sew  ,37.85,,,,,,,,,
1581,妞,niū,girl  ,37.83,,,,,,,,,
1582,惑,huò,confuse  ,37.68,,,,,,,,,
1583,狼,láng,wolf  ,37.62,,,,,,,,,
1584,矩,jǔ,rule  ,37.53,,,,,,,,,
1585,脉,mài,vessel  ,37.51,,,,,,,,,
1586,绕,rào,coil  ,37.45,,,,,,,,,
1587,宗,zōng,religion  ,37.38,,,,,,,,,
1588,祸,huò,disaster  ,37.38,,,,,,,,,
1589,益,yì,profit  ,37.36,,,,,,,,,
1590,壁,bì,wall  ,37.3,,,,,,,,,
1591,荷,hé,lotus  ,37.25,,,,,,,,,
1592,柯,kē,branch  ,37.25,,,,,,,,,
1593,虎,hǔ,tiger  ,37.25,,,,,,,,,
1594,趴,pā,lying  ,37.13,,,,,,,,,
1595,汇,huì,converge,37.08,,,,,,,,,
1596,缩,suō,contract  ,37.06,,,,,,,,,
1597,诗,shī,poem  ,37.02,,,,,,,,,
1598,泽,zé,marsh  ,37,,,,,,,,,
1599,诱,yòu,attract  ,36.95,,,,,,,,,
1600,溜,liū,slip  ,36.95,,,,,,,,,
1601,赫,hè,bright  ,36.95,,,,,,,,,
1602,殊,shū,different  ,36.95,,,,,,,,,
1603,济,jì,assist  ,36.91,,,,,,,,,
1604,含,hán,include  ,36.85,,,,,,,,,
1605,隆,lóng,prosper  ,36.83,,,,,,,,,
1606,狠,hěn,ferocious  ,36.7,,,,,,,,,
1607,甩,shuǎi,throw  ,36.7,,,,,,,,,
1608,燃,rán,burn  ,36.7,,,,,,,,,
1609,抵,dǐ,resist  ,36.63,,,,,,,,,
1610,粗,cū,coarse  ,36.49,,,,,,,,,
1611,妓,jì,prostitute  ,36.49,,,,,,,,,
1612,炒,chǎo,fry  ,36.46,,,,,,,,,
1613,揭,jiē,lift  ,36.42,,,,,,,,,
1614,涉,shè,involve  ,36.34,,,,,,,,,
1615,晕,yūn,dizzy  ,36.23,,,,,,,,,
1616,澡,zǎo,bath  ,36.23,,,,,,,,,
1617,偿,cháng,repay  ,36.21,,,,,,,,,
1618,牵,qiān,lead  ,36.14,,,,,,,,,
1619,岸,àn,bank  ,36.14,,,,,,,,,
1620,呐,nà,hey  ,35.97,,,,,,,,,
1621,肚,dù,belly  ,35.95,,,,,,,,,
1622,暖,nuǎn,warm  ,35.87,,,,,,,,,
1623,绳,shéng,rope  ,35.84,,,,,,,,,
1624,蛇,shé,snake  ,35.78,,,,,,,,,
1625,婴,yīng,infant  ,35.78,,,,,,,,,
1626,胞,bāo,cell  ,35.76,,,,,,,,,
1627,链,liàn,chain  ,35.76,,,,,,,,,
1628,薄,bó,thin  ,35.74,,,,,,,,,
1629,瞎,xiā,blind  ,35.74,,,,,,,,,
1630,阁 ,gé,gate,35.7,,,,,,,,,
1631,湖,hú,lake  ,35.67,,,,,,,,,
1632,讶,yà,surprise  ,35.67,,,,,,,,,
1633,齐,qí,together  ,35.67,,,,,,,,,
1634,哎,āi,ah  ,35.55,,,,,,,,,
1635,瞒,mán,conceal  ,35.52,,,,,,,,,
1636,逐,zhú,chase  ,35.5,,,,,,,,,
1637,豁,huō,open  ,35.5,,,,,,,,,
1638,韦,wéi,leather  ,35.42,,,,,,,,,
1639,肩,jiān,shoulder  ,35.29,,,,,,,,,
1640,呵,hē,breath  ,35.23,,,,,,,,,
1641,缘,yuán,fate  ,35.23,,,,,,,,,
1642,巫,wū,shaman  ,35.2,,,,,,,,,
1643,渴,kě,thirsty  ,35.14,,,,,,,,,
1644,筑,zhù,build  ,35.08,,,,,,,,,
1645,励,lì,encourage  ,35.01,,,,,,,,,
1646,艰,jiān,difficult  ,34.86,,,,,,,,,
1647,予,yǔ,grant  ,34.8,,,,,,,,,
1648,泄,xiè,leak  ,34.8,,,,,,,,,
1649,冻,dòng,freeze  ,34.59,,,,,,,,,
1650,积,jī,accumulate  ,34.54,,,,,,,,,
1651,拨,bō,dial,34.52,,,,,,,,,
1652,癌,ái,cancer  ,34.37,,,,,,,,,
1653,云,yún,cloud  ,34.35,,,,,,,,,
1654,幽,yōu,quiet  ,34.33,,,,,,,,,
1655,韩,hán,Korean  ,34.29,,,,,,,,,
1656,乳,rǔ,milk  ,34.26,,,,,,,,,
1657,遵,zūn,obey  ,34.18,,,,,,,,,
1658,龄,líng,age  ,34.03,,,,,,,,,
1659,汁,zhī,juice  ,33.97,,,,,,,,,
1660,罐,guàn,can  ,33.92,,,,,,,,,
1661,酱,jiàng,sauce  ,33.86,,,,,,,,,
1662,骚,sāo,harass,33.84,,,,,,,,,
1663,芭,bā,banana  ,33.82,,,,,,,,,
1664,亨,hēng,success  ,33.82,,,,,,,,,
1665,齿,chǐ,tooth  ,33.56,,,,,,,,,
1666,忽,hū,ignore  ,33.56,,,,,,,,,
1667,肠,cháng,intestine  ,33.43,,,,,,,,,
1668,钢,gāng,steel  ,33.3,,,,,,,,,
1669,押,yā,deposit,33.24,,,,,,,,,
1670,玻,bō,glass  ,33.22,,,,,,,,,
1671,姿,zī,posture  ,33.05,,,,,,,,,
1672,召,zhào,call  ,33.01,,,,,,,,,
1673,恰,qià,just right  ,32.96,,,,,,,,,
1674,擅,shàn,good at  ,32.94,,,,,,,,,
