Number,Chinese,Part,Freq,Difficulty
15214,后脑,common noun,41,5
15215,呼声,common noun,41,5
15216,咄咄逼人,verb,41,5
15217,和声,common noun,41,5
15218,哥斯达黎加,place name ,41,5
15219,哭鼻子,verb,41,5
15220,善恶,common noun,41,5
15221,嘎嘎,onomatopoeia,41,5
15222,圆桌,common noun,41,5
15223,城门,common noun,41,5
15224,增进,verb,41,5
15225,大功告成,verb,41,5
15226,大清早,time word,41,5
15227,大白,personal name,41,5
15228,失掉,verb,41,5
15229,失散,verb,41,5
15230,夸大其词,verb,41,5
15231,奥古斯蒂娜,personal name,41,5
15232,嫁妆,common noun,41,5
15233,学问,common noun,41,5
15234,宅邸,common noun,41,5
15235,安上,verb,41,5
15236,安眠,verb,41,5
15237,家务事,common noun,41,5
15238,少将,common noun,41,5
15239,尼德,personal name,41,5
15240,尾部,common noun,41,5
15241,展品,common noun,41,5
15242,展览会,common noun,41,5
15243,山峰,common noun,41,5
15244,工作日,common noun,41,5
15245,巡展,personal name,41,5
15246,布尔,common noun,41,5
15247,布里格斯,personal name,41,5
15248,帆布,common noun,41,5
15249,帕西瓦尔,personal name,41,5
15250,底盘,common noun,41,5
15251,开走,verb,41,5
15252,弗吉尼亚州,place name ,41,5
15253,张望,verb,41,5
15254,忌妒,verb,41,5
15255,恩爱,adjective,41,5
15256,悬挂,verb,41,5
15257,想得到,verb,41,5
15258,意料之中,fixed expressions,41,5
15259,战神,common noun,41,5
15260,手纸,common noun,41,5
15261,打成一片,verb,41,5
15262,抽取,verb,41,5
15263,担子,common noun,41,5
15264,拒捕,verb,41,5
15265,掏空,verb,41,5
15266,接送,verb,41,5
15267,摇钱树,common noun,41,5
15268,敌舰,common noun,41,5
15269,散落,verb,41,5
15270,断气,verb,41,5
15271,斯文,adjective,41,5
15272,方程,common noun,41,5
15273,无望,verb,41,5
15274,日渐,adverb,41,5
15275,早熟,verb,41,5
15276,昏昏欲睡,verb,41,5
15277,机体,common noun,41,5
15278,材质,common noun,41,5
15279,枯竭,verb,41,5
15280,柏拉图,personal name,41,5
15281,格林威治,place name ,41,5
15282,梳妆台,common noun,41,5
15283,歌迪,personal name,41,5
15284,正道,common noun,41,5
15285,步子,common noun,41,5
15286,武志,personal name,41,5
15287,段子,common noun,41,5
15288,民用,non-predicate adjective,41,5
15289,水泡,common noun,41,5
15290,江户,"other proper noun, place name ",41,5
15291,河坝,common noun,41,5
15292,油布,common noun,41,5
15293,泄气,"verb, verb with nominal function",41,5
15294,法术,common noun,41,5
15295,浩劫,common noun,41,5
15296,浴池,common noun,41,5
15297,海拔,common noun,41,5
15298,消退,verb,41,5
15299,滚烫,descriptive,41,5
15300,满员,verb,41,5
15301,灵性,common noun,41,5
15302,烟枪,common noun,41,5
15303,父爱,common noun,41,5
15304,爽约,verb with nominal function,41,5
15305,独到,adjective,41,5
15306,现钞,common noun,41,5
15307,理工学院,common noun,41,5
15308,瑞安,place name ,41,5
15309,甘草,common noun,41,5
15310,生疏,adjective,41,5
15311,甩卖,verb,41,5
15312,甲基,common noun,41,5
15313,画展,common noun,41,5
15314,画报,common noun,41,5
15315,痔疮,common noun,41,5
15316,百分之十,numeral,41,5
15317,盛行,verb,41,5
15318,相投,verb,41,5
15319,矿物,common noun,41,5
15320,破晓,verb,41,5
15321,磨损,"verb, verb with nominal function",41,5
15322,社会学,common noun,41,5
15323,神速,adjective,41,5
15324,穆勒,personal name,41,5
15325,米格,common noun,41,5
15326,粘土,common noun,41,5
15327,纸币,common noun,41,5
15328,维德,personal name,41,5
15329,翻脸,verb,41,5
15330,老好人,common noun,41,5
15331,考夫曼,personal name,41,5
15332,背地里,adverb,41,5
15333,脑电波,common noun,41,5
15334,自觉,"adjective, adjective as adverbial",41,5
15335,致歉,verb,41,5
15336,色泽,common noun,41,5
15337,艺名,common noun,41,5
15338,艺术馆,common noun,41,5
15339,艾格,personal name,41,5
15340,芬奇,personal name,41,5
15341,花束,common noun,41,5
15342,茶会,common noun,41,5
15343,荒岛,common noun,41,5
15344,荷兰语,other proper noun,41,5
15345,萨塔,personal name,41,5
15346,街坊,common noun,41,5
15347,西天,common noun,41,5
15348,西尔维娅,personal name,41,5
15349,记仇,verb,41,5
15350,赔钱,verb,41,5
15351,路易斯安那州,place name ,41,5
15352,躯干,common noun,41,5
15353,输给,verb,41,5
15354,达芬奇,personal name,41,5
15355,运往,verb,41,5
15356,远东,place name ,41,5
15357,迪伦,personal name,41,5
15358,迪士尼,personal name,41,5
15359,通知书,common noun,41,5
15360,配饰,common noun,41,5
15361,酒量,common noun,41,5
15362,重婚,verb,41,5
15363,铁塔,common noun,41,5
15364,铸成,verb,41,5
15365,锅炉,common noun,41,5
15366,长假,common noun,41,5
15367,长矛,common noun,41,5
15368,问路,verb,41,5
15369,闯祸,verb,41,5
15370,防火,"verb, verb with nominal function",41,5
15371,阿什利,personal name,41,5
15372,雅丽,personal name,41,5
15373,霍格沃茨,personal name,41,5
15374,露宿,verb,41,5
15375,静静地,descriptive,41,5
15376,静静的,descriptive,41,5
15377,音乐厅,common noun,41,5
15378,音效,common noun,41,5
15379,马瑞克,personal name,41,5
15380,驾驶证,common noun,41,5
15381,高人一等,verb,41,5
15382,鸟笼,common noun,41,5
15383,麦奥斯,personal name,41,5
15384,默哀,verb,41,5
15385,仰慕,"verb, verb with nominal function",40.5,5
15386,份儿,"classifier, common noun",40.5,5
15387,促销,"verb, verb with nominal function",40.5,5
15388,参选,"verb, verb with nominal function",40.5,5
15389,只顾,"adverb, verb",40.5,5
15390,垂死,"non-predicate adjective, verb",40.5,5
15391,延误,"verb, verb with nominal function",40.5,5
15392,投放,"verb, verb with nominal function",40.5,5
15393,治病,"verb, verb with nominal function",40.5,5
15394,煽动,"verb, verb with nominal function",40.5,5
15395,莫非,"adverb, verb",40.5,5
15396,赎回,"verb, verb with nominal function",40.5,5
15397,起义,"verb, verb with nominal function",40.5,5
15398,遗留,"verb, verb with nominal function",40.5,5
15399,三分之二,numeral,40,5
15400,三级,non-predicate adjective,40,5
15401,不闻不问,verb,40,5
15402,东南亚,place name ,40,5
15403,两手空空,verb,40,5
15404,中继站,common noun,40,5
15405,为期,verb,40,5
15406,丽芙,personal name,40,5
15407,乔尔,personal name,40,5
15408,乔纳,personal name,40,5
15409,乱世,common noun,40,5
15410,云霄,"common noun, place name ",40,5
15411,人为,"adverb, non-predicate adjective",40,5
15412,代理商,common noun,40,5
15413,优利亚,personal name,40,5
15414,传到,verb,40,5
15415,传道,verb,40,5
15416,伤脑筋,verb,40,5
15417,何去何从,verb,40,5
15418,作曲,"verb, verb with nominal function",40,5
15419,侍卫,common noun,40,5
15420,侍女,common noun,40,5
15421,俗气,"adjective, adjective with nominal function",40,5
15422,俗话说,verb,40,5
15423,倾家荡产,fixed expressions,40,5
15424,假肢,common noun,40,5
15425,光亮,"adjective, common noun",40,5
15426,光学,common noun,40,5
15427,克劳索,personal name,40,5
15428,入口处,common noun,40,5
15429,全天候,"adverb, non-predicate adjective",40,5
15430,公民权,common noun,40,5
15431,养成,verb,40,5
15432,兽性,common noun,40,5
15433,冤家,common noun,40,5
15434,冰淇,personal name,40,5
15435,凝结,verb,40,5
15436,刚巧,adverb,40,5
15437,初学者,common noun,40,5
15438,别致,adjective,40,5
15439,化学武器,fixed expressions,40,5
15440,千禧,non-predicate adjective,40,5
15441,午餐会,common noun,40,5
15442,卖身,verb,40,5
15443,卡罗莱纳,personal name,40,5
15444,卧房,common noun,40,5
15445,古斯特,personal name,40,5
15446,叫唤,verb,40,5
15447,可嘉,adjective,40,5
15448,可憎,adjective,40,5
15449,可贵,adjective,40,5
15450,合唱队,common noun,40,5
15451,名著,common noun,40,5
15452,吹毛求疵,verb,40,5
15453,哈奇,personal name,40,5
15454,哈蕾,personal name,40,5
15455,哥特,personal name,40,5
15456,唾弃,verb,40,5
15457,喂养,"verb, verb with nominal function",40,5
15458,囊中,space word,40,5
15459,四方,common noun,40,5
15460,坐等,verb,40,5
15461,基内维尔,personal name,40,5
15462,夏娃,"common noun, personal name",40,5
15463,大个儿,common noun,40,5
15464,大肚子,common noun,40,5
15465,天色,common noun,40,5
15466,奥利佛,personal name,40,5
15467,女方,common noun,40,5
15468,如鱼得水,verb,40,5
15469,守旧,adjective,40,5
15470,安非,personal name,40,5
15471,实弹,common noun,40,5
15472,害臊,adjective,40,5
15473,对视,verb,40,5
15474,小气鬼,common noun,40,5
15475,少不了,verb,40,5
15476,山芋,common noun,40,5
15477,巡游,"verb, verb with nominal function",40,5
15478,巴奇,personal name,40,5
15479,布法罗,place name ,40,5
15480,希拉,personal name,40,5
15481,康纳利,personal name,40,5
15482,开拓,verb,40,5
15483,弗莱,personal name,40,5
15484,归属,"verb, verb with nominal function",40,5
15485,彼得森,personal name,40,5
15486,得克萨斯,place name ,40,5
15487,思朋斯,personal name,40,5
15488,怯场,adjective,40,5
15489,恩典,verb,40,5
15490,意向,common noun,40,5
15491,截断,verb,40,5
15492,戴伦,personal name,40,5
15493,打呼噜,verb,40,5
15494,扩展,"verb, verb with nominal function",40,5
15495,拖后腿,verb,40,5
15496,据为己有,verb,40,5
15497,排查,verb,40,5
15498,握有,verb,40,5
15499,摄像,"common noun, verb, verb with nominal function",40,5
15500,摄氏,non-predicate adjective,40,5
15501,播放器,common noun,40,5
15502,攻克,verb,40,5
15503,政府部门,common noun,40,5
15504,斯蒂芬妮,personal name,40,5
15505,新任,"non-predicate adjective, verb",40,5
15506,新墨西哥,place name ,40,5
15507,显著,"adjective, adjective as adverbial",40,5
15508,普普通通,descriptive,40,5
15509,曼宁,personal name,40,5
15510,朗诵,verb,40,5
15511,来世,time word,40,5
15512,来劲,adjective,40,5
15513,杰克森,personal name,40,5
15514,查德,personal name,40,5
15515,柴火,common noun,40,5
15516,栖身,verb,40,5
15517,格瑞格里,personal name,40,5
15518,梅吉,personal name,40,5
15519,欧尼尔,personal name,40,5
15520,比划,verb,40,5
15521,沙场,common noun,40,5
15522,河谷,common noun,40,5
15523,法兰克福,place name ,40,5
15524,波特莱尔,personal name,40,5
15525,洗刷,verb,40,5
15526,洗劫,"verb, verb with nominal function",40,5
15527,派别,common noun,40,5
15528,涡轮,common noun,40,5
15529,溶液,common noun,40,5
15530,满堂,common noun,40,5
15531,漂泊,verb,40,5
15532,漂流,"verb, verb with nominal function",40,5
15533,濒死,verb,40,5
15534,烂泥,common noun,40,5
15535,热气球,common noun,40,5
15536,特赦,"verb, verb with nominal function",40,5
15537,猛击,verb,40,5
15538,玛蒂尔德,personal name,40,5
15539,珍爱,"verb, verb with nominal function",40,5
15540,瓦解,"verb, verb with nominal function",40,5
15541,甘蔗,common noun,40,5
15542,电磁场,common noun,40,5
15543,白细胞,common noun,40,5
15544,百科全书,common noun,40,5
15545,监听器,common noun,40,5
15546,相称,adjective,40,5
15547,眼睑,common noun,40,5
15548,破伤风,common noun,40,5
15549,科威特,place name ,40,5
15550,空隙,common noun,40,5
15551,篮球场,common noun,40,5
15552,索马里,place name ,40,5
15553,纯一,adjective,40,5
15554,纽曼,personal name,40,5
15555,罪责,common noun,40,5
15556,署名,"verb, verb with nominal function",40,5
15557,羊群,common noun,40,5
15558,美术馆,common noun,40,5
15559,美洲豹,common noun,40,5
15560,老处女,common noun,40,5
15561,肉排,common noun,40,5
15562,肉麻,adjective,40,5
15563,脑壳,common noun,40,5
15564,脑电图,common noun,40,5
15565,自相矛盾,verb,40,5
15566,自给自足,verb,40,5
15567,致命伤,common noun,40,5
15568,艾滋病毒,common noun,40,5
15569,艾蕾,personal name,40,5
15570,落叶,common noun,40,5
15571,血块,common noun,40,5
15572,行情,common noun,40,5
15573,裂口,common noun,40,5
15574,裸露,"verb, verb with nominal function",40,5
15575,要挟,"verb, verb with nominal function",40,5
15576,誓死,adverb,40,5
15577,败露,verb,40,5
15578,赞成票,common noun,40,5
15579,赠品,common noun,40,5
15580,越权,verb,40,5
15581,跌落,verb,40,5
15582,转送,verb,40,5
15583,轻蔑,verb,40,5
15584,过剩,verb,40,5
15585,过载,verb with nominal function,40,5
15586,连环画,common noun,40,5
15587,迪娜,personal name,40,5
15588,途经,verb,40,5
15589,通融,verb,40,5
15590,通风报信,verb,40,5
15591,链条,common noun,40,5
15592,锡拉丘兹,personal name,40,5
15593,镇压,"verb, verb with nominal function",40,5
15594,镊子,common noun,40,5
15595,长途跋涉,verb,40,5
15596,难保,verb,40,5
15597,露脸,verb,40,5
15598,非官方,non-predicate adjective,40,5
15599,面目全非,fixed expressions,40,5
15600,飞行物,common noun,40,5
15601,飞驰,verb,40,5
15602,饭厅,common noun,40,5
15603,饮水,common noun,40,5
15604,鲜艳,adjective,40,5
15605,费心,"adjective, adjective as adverbial, verb",39.66666667,5
15606,侵害,"verb, verb with nominal function",39.5,5
15607,信教,"verb, verb with nominal function",39.5,5
15608,协作,"verb, verb with nominal function",39.5,5
15609,垂直,"verb, verb with nominal function",39.5,5
15610,安葬,"verb, verb with nominal function",39.5,5
15611,悔恨,"verb, verb with nominal function",39.5,5
15612,欢喜,"verb, verb with nominal function",39.5,5
15613,欢心,"common noun, verb",39.5,5
15614,游说,"verb, verb with nominal function",39.5,5
15615,用功,"adjective, verb",39.5,5
15616,裁员,"verb, verb with nominal function",39.5,5
15617,隶属,"verb, verb with nominal function",39.5,5
15618,波动,"common noun, verb, verb with nominal function",39.33333333,5
15619,一蹶不振,verb,39,5
15620,上限,common noun,39,5
15621,下跌,verb,39,5
15622,不见得,adverb,39,5
15623,东岸,common noun,39,5
15624,个旧,place name ,39,5
15625,临头,verb,39,5
15626,丹米安,personal name,39,5
15627,乐乐,personal name,39,5
15628,五秒,time word,39,5
15629,交易所,common noun,39,5
15630,产前,time word,39,5
15631,亲笔,"adverb, non-predicate adjective",39,5
15632,代课,"verb, verb with nominal function",39,5
15633,份量,other proper noun,39,5
15634,伯父,common noun,39,5
15635,侍从,common noun,39,5
15636,俗套,common noun,39,5
15637,修理厂,common noun,39,5
15638,倒车,"verb, verb with nominal function",39,5
15639,候诊室,common noun,39,5
15640,克拉舍,personal name,39,5
15641,克里夫德,personal name,39,5
15642,公分,classifier,39,5
15643,公敌,common noun,39,5
15644,公私,common noun,39,5
15645,冒泡,verb,39,5
15646,军衔,common noun,39,5
15647,农作物,common noun,39,5
15648,几十万,numeral,39,5
15649,分期付款,verb,39,5
15650,列尼,personal name,39,5
15651,前沿,space word,39,5
15652,加纳,place name ,39,5
15653,劫机,"verb, verb with nominal function",39,5
15654,卡桑德拉,personal name,39,5
15655,却说,verb,39,5
15656,发胖,verb,39,5
15657,叫嚷,verb,39,5
15658,右眼,common noun,39,5
15659,听天由命,verb,39,5
15660,呜呜,onomatopoeia,39,5
15661,哈洛,personal name,39,5
15662,圣胡安,place name ,39,5
15663,坐骑,common noun,39,5
15664,块儿,common noun,39,5
15665,坚不可摧,verb,39,5
15666,天王,common noun,39,5
15667,夹板,common noun,39,5
15668,威廉姆,personal name,39,5
15669,媒介,common noun,39,5
15670,安古斯,personal name,39,5
15671,定格,verb,39,5
15672,容量,common noun,39,5
15673,对峙,"verb, verb with nominal function",39,5
15674,导火索,common noun,39,5
15675,小偷小摸,fixed expressions,39,5
15676,小河,common noun,39,5
15677,小节,common noun,39,5
15678,小行星,common noun,39,5
15679,尤拉,personal name,39,5
15680,尼克森,personal name,39,5
15681,尼古丁,common noun,39,5
15682,尼古拉,personal name,39,5
15683,尼莫,personal name,39,5
15684,尽忠,verb,39,5
15685,尿样,common noun,39,5
15686,居留,verb with nominal function,39,5
15687,山路,common noun,39,5
15688,工蚁,common noun,39,5
15689,布雷,"personal name, verb",39,5
15690,布鲁斯特,personal name,39,5
15691,希普,personal name,39,5
15692,干冰,common noun,39,5
15693,平地,common noun,39,5
15694,废铁,common noun,39,5
15695,异类,common noun,39,5
15696,弗莉卡,personal name,39,5
15697,弥赛亚,personal name,39,5
15698,弹射,verb with nominal function,39,5
15699,当下,"adverb, time word",39,5
15700,待定,verb,39,5
15701,必不可少,verb,39,5
15702,念念,verb,39,5
15703,总局,common noun,39,5
15704,总机,common noun,39,5
15705,恶名,common noun,39,5
15706,恼人,adjective,39,5
15707,惟一,non-predicate adjective,39,5
15708,惨案,common noun,39,5
15709,愈来愈,adverb,39,5
15710,戈培尔,personal name,39,5
15711,戴米安,personal name,39,5
15712,所里,common noun,39,5
15713,执勤,"verb, verb with nominal function",39,5
15714,扮演者,common noun,39,5
15715,抹布,common noun,39,5
15716,拉尔斯,personal name,39,5
15717,挪挪,verb,39,5
15718,挪用,"verb, verb with nominal function",39,5
15719,振动,"verb, verb with nominal function",39,5
15720,捉拿,verb,39,5
15721,捕杀,verb,39,5
15722,掠过,verb,39,5
15723,探子,common noun,39,5
15724,摇摇欲坠,verb,39,5
15725,摇篮曲,common noun,39,5
15726,摩天大楼,common noun,39,5
15727,擦肩而过,verb,39,5
15728,敞篷车,common noun,39,5
15729,文本,common noun,39,5
15730,文献,common noun,39,5
15731,斑斑,descriptive,39,5
15732,斯托,personal name,39,5
15733,斯蒂夫勒,personal name,39,5
15734,明智之举,fixed expressions,39,5
15735,晕车,verb,39,5
15736,普利策,personal name,39,5
15737,木工,common noun,39,5
15738,机师,common noun,39,5
15739,板块,common noun,39,5
15740,查维斯,personal name,39,5
15741,格里姆,personal name,39,5
15742,正焕,personal name,39,5
15743,步法,common noun,39,5
15744,歧途,common noun,39,5
15745,死罪,common noun,39,5
15746,毫无道理,fixed expressions,39,5
15747,水疗,common noun,39,5
15748,汤姆·道比斯,personal name,39,5
15749,沙包,common noun,39,5
15750,没出息,adjective,39,5
15751,法兰绒,common noun,39,5
15752,泰成,personal name,39,5
15753,洁西卡,personal name,39,5
15754,济州,place name ,39,5
15755,海沅,personal name,39,5
15756,清风,common noun,39,5
15757,港湾,common noun,39,5
15758,火上浇油,verb,39,5
15759,火候,common noun,39,5
15760,片中,space word,39,5
15761,犀利,adjective,39,5
15762,犹他,place name ,39,5
15763,狄更斯,personal name,39,5
15764,独生女,common noun,39,5
15765,理疗,"verb, verb with nominal function",39,5
15766,生产商,common noun,39,5
15767,用量,common noun,39,5
15768,电极,common noun,39,5
15769,皮质,common noun,39,5
15770,直肠,common noun,39,5
15771,直贵,personal name,39,5
15772,看守所,common noun,39,5
15773,破镜重圆,verb,39,5
15774,碎石,common noun,39,5
15775,磁盘,common noun,39,5
15776,科长,common noun,39,5
15777,科隆,place name ,39,5
15778,空前,"adjective, adjective as adverbial",39,5
15779,空闲,"adjective, common noun, verb",39,5
15780,空难,common noun,39,5
15781,穿孔,verb,39,5
15782,突变,"verb, verb with nominal function",39,5
15783,站稳,verb,39,5
15784,笛子,common noun,39,5
15785,管辖权,common noun,39,5
15786,篓子,common noun,39,5
15787,糕饼,common noun,39,5
15788,红衣主教,common noun,39,5
15789,纸片,common noun,39,5
15790,编程,"verb, verb with nominal function",39,5
15791,缝制,verb,39,5
15792,罗网,common noun,39,5
15793,羊皮,common noun,39,5
15794,老牌,non-predicate adjective,39,5
15795,老规矩,common noun,39,5
15796,聪明才智,fixed expressions,39,5
15797,胆怯,"adjective, adjective with nominal function",39,5
15798,背上,verb,39,5
15799,背道而驰,verb,39,5
15800,致谢,verb,39,5
15801,舒坦,adjective,39,5
15802,航程,common noun,39,5
15803,艾丽丝,personal name,39,5
15804,艾里森,personal name,39,5
15805,苦痛,common noun,39,5
15806,草包,common noun,39,5
15807,莫特,personal name,39,5
15808,薛西斯,personal name,39,5
15809,血性,common noun,39,5
15810,被单,common noun,39,5
15811,西区,"common noun, place name , space word",39,5
15812,解剖学,common noun,39,5
15813,触电,verb,39,5
15814,认命,verb,39,5
15815,诚挚,"adjective, adjective as adverbial",39,5
15816,诺丁汉,place name ,39,5
15817,调离,verb,39,5
15818,谢尔比,personal name,39,5
15819,豆奶,common noun,39,5
15820,贝克汉姆,personal name,39,5
15821,贝里可夫,personal name,39,5
15822,贞娥,personal name,39,5
15823,负伤,verb,39,5
15824,贤珠,personal name,39,5
15825,货舱,common noun,39,5
15826,赞美诗,common noun,39,5
15827,转盘,common noun,39,5
15828,输光,verb,39,5
15829,迪雷,personal name,39,5
15830,通货膨胀,verb,39,5
15831,逞强,verb,39,5
15832,道听途说,fixed expressions,39,5
15833,钢筋,common noun,39,5
15834,销售额,common noun,39,5
15835,长笛,common noun,39,5
15836,阿什,personal name,39,5
15837,阿托品,common noun,39,5
15838,难倒,verb,39,5
15839,雀跃,verb,39,5
15840,静观,verb,39,5
15841,静音,verb with nominal function,39,5
15842,靠得住,adjective,39,5
15843,领班,common noun,39,5
15844,马尔西,personal name,39,5
15845,高低,common noun,39,5
15846,高额,non-predicate adjective,39,5
15847,鲁克,personal name,39,5
15848,黛莉西娅,personal name,39,5
15849,联想,"other proper noun, verb, verb with nominal function",38.66666667,5
15850,任职,"verb, verb with nominal function",38.5,5
15851,偷渡,"verb, verb with nominal function",38.5,5
15852,单调,"adjective, adjective with nominal function",38.5,5
15853,呼喊,"verb, verb with nominal function",38.5,5
15854,奉承,"verb, verb with nominal function",38.5,5
15855,崛起,"verb, verb with nominal function",38.5,5
15856,平稳,"adjective, adjective as adverbial",38.5,5
15857,总管,"common noun, verb",38.5,5
15858,悬念,"common noun, verb",38.5,5
15859,抚慰,"verb, verb with nominal function",38.5,5
15860,摆放,"verb, verb with nominal function",38.5,5
15861,摆设,"common noun, verb",38.5,5
15862,破损,"verb, verb with nominal function",38.5,5
15863,退化,"verb, verb with nominal function",38.5,5
15864,干燥,"adjective, adjective as adverbial, adjective with nominal function",38.33333333,5
15865,敏捷,"adjective, adjective as adverbial, adjective with nominal function",38.33333333,5
15866,一丝不苟,verb,38,5
15867,一年一度,fixed expressions,38,5
15868,专科,common noun,38,5
15869,丘吉尔,personal name,38,5
15870,交涉,"verb, verb with nominal function",38,5
15871,人之常情,fixed expressions,38,5
15872,人情味,common noun,38,5
15873,伊斯坦布尔,place name ,38,5
15874,低劣,adjective,38,5
15875,作坊,common noun,38,5
15876,侦察兵,common noun,38,5
15877,保龄球馆,common noun,38,5
15878,借此机会,verb,38,5
15879,假币,common noun,38,5
15880,催促,verb,38,5
15881,光芒四射,fixed expressions,38,5
15882,光谱,common noun,38,5
15883,免责,verb with nominal function,38,5
15884,公尺,classifier,38,5
15885,六百,numeral,38,5
15886,兵器,common noun,38,5
15887,冰河,common noun,38,5
15888,冰锥,common noun,38,5
15889,冰面,common noun,38,5
15890,出生入死,verb,38,5
15891,别光,personal name,38,5
15892,制毒,"verb, verb with nominal function",38,5
15893,力士,common noun,38,5
15894,加班费,common noun,38,5
15895,劳动节,time word,38,5
15896,勒尼,personal name,38,5
15897,十二点,time word,38,5
15898,千百,numeral,38,5
15899,半自动,non-predicate adjective,38,5
15900,卫生巾,common noun,38,5
15901,发大财,verb,38,5
15902,变样,verb,38,5
15903,史翠珊,personal name,38,5
15904,叹为观止,verb,38,5
15905,吉塞尔,personal name,38,5
15906,后事,common noun,38,5
15907,吐露,verb,38,5
15908,告状,verb,38,5
15909,告诫,"verb, verb with nominal function",38,5
15910,商城,common noun,38,5
15911,喀布尔,place name ,38,5
15912,善敏,personal name,38,5
15913,在理,adjective,38,5
15914,垮台,verb,38,5
15915,埃利斯,personal name,38,5
15916,埃尔维斯,personal name,38,5
15917,墓园,common noun,38,5
15918,声纳,common noun,38,5
15919,多姿多彩,fixed expressions,38,5
15920,夜校,common noun,38,5
15921,大相径庭,verb,38,5
15922,天平,common noun,38,5
15923,奇想,common noun,38,5
15924,奥林,personal name,38,5
15925,奴役,"verb, verb with nominal function",38,5
15926,奶妈,common noun,38,5
15927,奸杀,verb,38,5
15928,好好先生,fixed expressions,38,5
15929,子弟,common noun,38,5
15930,存入,verb,38,5
15931,学士,common noun,38,5
15932,学科,common noun,38,5
15933,安哥拉,place name ,38,5
15934,安安静静,descriptive,38,5
15935,害处,common noun,38,5
15936,射击场,common noun,38,5
15937,小狗,personal name,38,5
15938,少有,adjective,38,5
15939,尖顶,common noun,38,5
15940,巴托斯基,personal name,38,5
15941,帕萨迪纳,personal name,38,5
15942,带刺,verb,38,5
15943,度日,verb,38,5
15944,引人入胜,verb,38,5
15945,影射,verb,38,5
15946,德克,personal name,38,5
15947,忌日,time word,38,5
15948,忠心耿耿,fixed expressions,38,5
15949,总司令,common noun,38,5
15950,恨之入骨,verb,38,5
15951,悲痛欲绝,verb,38,5
15952,惠灵顿,place name ,38,5
15953,戒严,verb,38,5
15954,战区,common noun,38,5
15955,打头阵,verb,38,5
15956,打杂,verb,38,5
15957,扫荡,"verb, verb with nominal function",38,5
15958,找事,verb,38,5
15959,抽打,verb,38,5
15960,拿撒勒,place name ,38,5
15961,按铃,verb,38,5
15962,捕食,verb,38,5
15963,搅拌器,common noun,38,5
15964,撮合,"verb, verb with nominal function",38,5
15965,操之过急,verb,38,5
15966,擦亮,verb,38,5
15967,收紧,verb,38,5
15968,放哨,verb,38,5
15969,放宽,verb,38,5
15970,政治犯,common noun,38,5
15971,敲门声,common noun,38,5
15972,旁白,common noun,38,5
15973,无中生有,verb,38,5
15974,无人,non-predicate adjective,38,5
15975,旧情,common noun,38,5
15976,晋生,personal name,38,5
15977,暂且,adverb,38,5
15978,有救,verb,38,5
15979,有望,verb,38,5
15980,朝圣,"verb, verb with nominal function",38,5
15981,本行,common noun,38,5
15982,机不可失,verb,38,5
15983,杂交,verb with nominal function,38,5
15984,标明,verb,38,5
15985,树桩,common noun,38,5
15986,格蒂,personal name,38,5
15987,格言,common noun,38,5
15988,桑恩,personal name,38,5
15989,桑敏,personal name,38,5
15990,椒盐,common noun,38,5
15991,橡木,common noun,38,5
15992,歌喉,common noun,38,5
15993,毁于一旦,verb,38,5
15994,水底,space word,38,5
15995,沃尔夫,personal name,38,5
15996,河畔,common noun,38,5
15997,洛斯戈,personal name,38,5
15998,浆糊,common noun,38,5
15999,淡忘,verb,38,5
16000,清酒,common noun,38,5
16001,湿度,common noun,38,5
16002,潮水,common noun,38,5
16003,火光,common noun,38,5
16004,火场,common noun,38,5
16005,火山口,common noun,38,5
16006,炼油厂,common noun,38,5
16007,熨斗,common noun,38,5
16008,爱伦,personal name,38,5
16009,牛皮,common noun,38,5
16010,独木舟,common noun,38,5
16011,独眼龙,common noun,38,5
16012,猪油,common noun,38,5
16013,玩命,verb,38,5
16014,现任,"non-predicate adjective, verb",38,5
16015,球技,common noun,38,5
16016,瑞利,personal name,38,5
16017,生儿育女,verb,38,5
16018,留守,verb,38,5
16019,百货商店,common noun,38,5
16020,相约,verb,38,5
16021,眼中钉,common noun,38,5
16022,瞎眼,verb,38,5
16023,石碑,common noun,38,5
16024,神学,common noun,38,5
16025,离岸,verb with nominal function,38,5
16026,科尔曼,personal name,38,5
16027,科目,common noun,38,5
16028,第十三,numeral,38,5
16029,筹办,verb,38,5
16030,粉身碎骨,fixed expressions,38,5
16031,累累,descriptive,38,5
16032,统领,verb,38,5
16033,罗琳斯,personal name,38,5
16034,罗马帝国,common noun,38,5
16035,美津子,personal name,38,5
16036,美的,other proper noun,38,5
16037,老虎机,common noun,38,5
16038,肉食,common noun,38,5
16039,胡桃,"common noun, personal name",38,5
16040,胳膊肘,common noun,38,5
16041,自有,non-predicate adjective,38,5
16042,花椰菜,common noun,38,5
16043,花边,common noun,38,5
16044,茴香,common noun,38,5
16045,荒芜,adjective,38,5
16046,萨莉,personal name,38,5
16047,落下,verb,38,5
16048,落网,verb,38,5
16049,蔡斯,personal name,38,5
16050,蝌蚪,common noun,38,5
16051,行程表,common noun,38,5
16052,表演赛,common noun,38,5
16053,表象,common noun,38,5
16054,议院,common noun,38,5
16055,许许多多,numeral,38,5
16056,说闲话,verb,38,5
16057,诺曼底,place name ,38,5
16058,谢丽尔,personal name,38,5
16059,豪泽,personal name,38,5
