Number,Chinese,Part,Freq,Difficulty
1070,态度,common noun,1256,1
1071,你好,verb,1254,1
1072,难以,adverb,1253,1
1073,支票,common noun,1249,1
1074,好玩,adjective,1247,1
1075,早餐,common noun,1247,1
1076,上学,verb,1241,1
1077,放在,verb,1240,1
1078,理论,common noun,1240,1
1079,生物,common noun,1240,1
1080,年纪,common noun,1237,1
1081,角度,common noun,1237,1
1082,弗兰克,personal name,1236,1
1083,反对,"verb, verb with nominal function",1234,1
1084,老鼠,common noun,1234,1
1085,手术,"common noun, verb, verb with nominal function",1231.666667,1
1086,男友,common noun,1230,1
1087,关掉,verb,1227,1
1088,吃惊,adjective,1227,1
1089,测试,"verb, verb with nominal function",1226.5,1
1090,大楼,common noun,1226,1
1091,商店,common noun,1224,1
1092,妓女,common noun,1224,1
1093,不断,adverb,1222,1
1094,能量,common noun,1222,1
1095,袭击,"verb, verb with nominal function",1221,1
1096,公主,common noun,1219,1
1097,演出,"verb, verb with nominal function",1218.5,1
1098,呼吸,"verb, verb with nominal function",1217.5,1
1099,也就是说,verb,1216,1
1100,猜猜,verb,1216,1
1101,痛苦,"adjective, adjective as adverbial, adjective with nominal function",1216,1
1102,单身,common noun,1214,1
1103,抛弃,verb,1214,1
1104,超级,"adverb, non-predicate adjective",1213.5,1
1105,破坏,"verb, verb with nominal function",1211.5,1
1106,女王,common noun,1210,1
1107,好吃,adjective,1210,1
1108,趴下,verb,1209,1
1109,爆炸,"verb, verb with nominal function",1206.5,1
1110,迟到,"verb, verb with nominal function",1206.5,1
1111,地图,common noun,1206,1
1112,失陪,verb,1205,1
1113,按照,preposition,1205,1
1114,美妙,adjective,1205,1
1115,擅长,verb,1204,1
1116,药物,common noun,1202,1
1117,不仅仅,adverb,1201,1
1118,面包,common noun,1201,1
1119,伙伴,common noun,1200,1
1120,女友,common noun,1200,1
1121,世纪,common noun,1199,1
1122,大麻,common noun,1198,1
1123,比尔,personal name,1198,1
1124,达到,verb,1196,1
1125,邮件,common noun,1195,1
1126,服务,"verb, verb with nominal function",1193.5,1
1127,学习,"verb, verb with nominal function",1192.5,1
1128,动手,verb,1191,1
1129,总之,conjunction,1187,1
1130,能否,verb,1186,1
1131,英语,other proper noun,1186,1
1132,可不,fixed expressions,1184,1
1133,干活,verb,1184,1
1134,椅子,common noun,1184,1
1135,相同,adjective,1183,1
1136,陛下,common noun,1183,1
1137,鞋子,common noun,1183,1
1138,完毕,verb,1182,1
1139,血液,common noun,1182,1
1140,时刻,"adverb, common noun",1181.5,1
1141,大卫,personal name,1180,1
1142,无论如何,fixed expressions,1180,1
1143,最高,adjective,1177,1
1144,上尉,common noun,1175,1
1145,不可,verb,1173,1
1146,谎言,common noun,1172,1
1147,遇见,verb,1172,1
1148,世上,space word,1171,1
1149,耳朵,common noun,1171,1
1150,葬礼,common noun,1170,1
1151,某人,pronoun,1169,1
1152,城里,space word,1168,1
1153,委员会,common noun,1167,1
1154,机构,common noun,1167,1
1155,幸运,"adjective, adjective as adverbial, adjective with nominal function",1166.666667,1
1156,即将,adverb,1163,1
1157,程度,common noun,1163,1
1158,裙子,common noun,1163,1
1159,钻石,common noun,1162,1
1160,受不了,fixed expressions,1161,1
1161,在于,verb,1160,1
1162,通常,"adverb, non-predicate adjective",1158,1
1163,全国,common noun,1157,1
1164,拯救,"verb, verb with nominal function",1157,1
1165,议员,common noun,1157,1
1166,餐馆,common noun,1156,1
1167,差点,"adverb, verb",1155,1
1168,罗马,place name ,1154,1
1169,皮肤,common noun,1153,1
1170,部队,common noun,1152,1
1171,背后,directional locality,1150,1
1172,全世界,common noun,1149,1
1173,权力,common noun,1148,1
1174,棒球,common noun,1147,1
1175,新鲜,adjective,1145,1
1176,聊聊,verb,1145,1
1177,痕迹,common noun,1139,1
1178,愚蠢,"adjective, adjective with nominal function",1138,1
1179,区域,common noun,1133,1
1180,数据,common noun,1133,1
1181,玻璃,common noun,1133,1
1182,勇气,common noun,1132,1
1183,镜头,common noun,1132,1
1184,比较,"adverb, verb, verb with nominal function",1129.333333,1
1185,员工,common noun,1129,1
1186,联盟,common noun,1127,1
1187,客气,"adjective, adjective as adverbial",1125.5,1
1188,了不起,adjective,1125,1
1189,跟踪,"verb, verb with nominal function",1124.5,1
1190,关键,"adjective, common noun",1124,1
1191,基地,common noun,1123,1
1192,之外,directional locality,1122,1
1193,嫉妒,verb,1122,1
1194,再说,"conjunction, verb",1121,1
1195,土地,common noun,1121,1
1196,保姆,common noun,1119,1
1197,究竟,"adverb, common noun",1119,1
1198,放手,verb,1118,1
1199,注意力,common noun,1117,1
1200,习惯,"common noun, verb",1111.5,1
1201,现实,"adjective, common noun",1111.5,1
1202,时尚,common noun,1111,1
1203,上班,"verb, verb with nominal function",1110.5,1
1204,整天,adverb,1110,1
1205,文章,common noun,1110,1
1206,病毒,common noun,1110,1
1207,的话,auxiliary,1110,1
1208,海滩,common noun,1109,1
1209,设备,common noun,1107,1
1210,恢复,"verb, verb with nominal function",1103.5,1
1211,怀孕,"verb, verb with nominal function",1103,1
1212,确认,"verb, verb with nominal function",1103,1
1213,聚会,"verb, verb with nominal function",1103,1
1214,神像,common noun,1102,1
1215,医疗,common noun,1101,1
1216,隐藏,verb,1100,1
1217,绑架,"verb, verb with nominal function",1099.5,1
1218,激情,common noun,1099,1
1219,语言,common noun,1099,1
1220,车子,common noun,1098,1
1221,当作,verb,1095,1
1222,阁下,common noun,1095,1
1223,干净,"adjective, adjective as adverbial",1094.5,1
1224,处于,verb,1088,1
1225,提要,common noun,1088,1
1226,对象,common noun,1087,1
1227,见见,verb,1087,1
1228,助手,common noun,1084,1
1229,摆脱,verb,1084,1
1230,魅力,common noun,1084,1
1231,话题,common noun,1080,1
1232,分手,"verb, verb with nominal function",1079,1
1233,市场,common noun,1078,1
1234,接着,"conjunction, verb",1074.5,1
1235,救命,"verb, verb with nominal function",1074.5,1
1236,加州,place name ,1074,1
1237,迷人,adjective,1073,1
1238,举行,verb,1071,1
1239,王子,common noun,1070,1
1240,退后,verb,1069,1
1241,吃饭,"verb, verb with nominal function",1067.5,1
1242,困难,"adjective, adjective with nominal function",1066,1
1243,不仅,conjunction,1065,1
1244,夏天,time word,1065,1
1245,记忆,"common noun, verb",1064,1
1246,饼干,common noun,1064,1
1247,紧急,"adjective, adjective as adverbial",1063,1
1248,作证,verb,1058,1
1249,好笑,adjective,1058,1
1250,开口,verb,1058,1
1251,说法,common noun,1058,1
1252,仪式,common noun,1057,1
1253,国际,common noun,1057,1
1254,提醒,"verb, verb with nominal function",1056.5,1
1255,旅行,"verb, verb with nominal function",1056,1
1256,惊喜,"adjective, adjective with nominal function",1054.5,1
1257,接近,"verb, verb with nominal function",1054,1
1258,信心,common noun,1053,1
1259,当成,verb,1053,1
1260,谋杀案,common noun,1053,1
1261,逮捕,"verb, verb with nominal function",1052,1
1262,爵士,common noun,1050,1
1263,癌症,common noun,1050,1
1264,表明,verb,1050,1
1265,同时,"adverb, common noun, conjunction",1048.333333,1
1266,激动,"adjective, adjective with nominal function",1048,1
1267,老公,common noun,1047,1
1268,骄傲,"adjective, adjective with nominal function",1047,1
1269,工具,common noun,1045,1
1270,送给,verb,1045,1
1271,骨头,common noun,1045,1
1272,市长,common noun,1042,1
1273,男生,common noun,1042,1
1274,监视,"verb, verb with nominal function",1042,1
1275,醒来,verb,1042,1
1276,之内,directional locality,1041,1
1277,犯人,common noun,1040,1
1278,名人,common noun,1039,1
1279,海军,common noun,1039,1
1280,第五,numeral,1038,1
1281,结局,common noun,1036,1
1282,合同,common noun,1034,1
1283,小家伙,common noun,1034,1
1284,争取,verb,1033,1
1285,没事儿,verb,1033,1
1286,警告,"verb, verb with nominal function",1032,1
1287,乔伊,personal name,1031,1
1288,人人,common noun,1031,1
1289,当地,space word,1030,1
1290,车祸,common noun,1030,1
1291,信用卡,common noun,1029,1
1292,早晨,time word,1028,1
1293,滚开,verb,1027,1
1294,电梯,common noun,1025,1
1295,左边,directional locality,1024,1
1296,动机,common noun,1023,1
1297,礼拜,common noun,1023,1
1298,尝试,"verb, verb with nominal function",1022.5,1
1299,名叫,verb,1021,1
1300,黑色,common noun,1021,1
1301,发出,verb,1020,1
1302,船上,space word,1019,1
1303,做爱,verb,1018,1
1304,同学,common noun,1018,1
1305,彼得,personal name,1018,1
1306,穿过,verb,1018,1
1307,并非,verb,1017,1
1308,非洲,place name ,1017,1
1309,警报,common noun,1016,1
1310,出局,verb,1015,1
1311,人质,common noun,1014,1
1312,内部,directional locality,1014,1
1313,搭档,"common noun, verb",1014,1
1314,扮演,verb,1012,1
1315,姿势,common noun,1010,1
1316,宇宙,common noun,1009,1
1317,卧室,common noun,1006,1
1318,最新,adjective,1006,1
1319,远离,verb,1006,1
1320,剧本,common noun,1005,1
1321,感激,"verb, verb with nominal function",1005,1
1322,请问,verb,1005,1
1323,手指,common noun,1004,1
1324,迈阿密,place name ,1002,1
1325,资格,common noun,999,2
1326,作家,common noun,998,2
1327,被告,common noun,997,2
